book_id,goodreads_book_id,authors,original_publication_year,title,average_rating,borrowed,available,rating_count
1,2767052,Suzanne Collins,2008,"The Hunger Games (The Hunger Games, #1)",4.34,0,1,1
2,3,"J.K. Rowling, Mary GrandPr",1997,"Harry Potter and the Sorcerer's Stone (Harry Potter, #1)",4.44,0,1,1
3,41865,Stephenie Meyer,2005,"Twilight (Twilight, #1)",3.57,0,1,1
4,2657,Harper Lee,1960,To Kill a Mockingbird,4.25,0,1,1
5,4671,F. Scott Fitzgerald,1925,The Great Gatsby,3.89,0,1,1
6,11870085,John Green,2012,The Fault in Our Stars,4.26,0,1,1
7,5907,J.R.R. Tolkien,1937,The Hobbit,4.25,0,1,1
8,5107,J.D. Salinger,1951,The Catcher in the Rye,3.79,0,1,1
9,960,Dan Brown,2000,"Angels & Demons  (Robert Langdon, #1)",3.85,0,1,1
10,1885,Jane Austen,1813,Pride and Prejudice,4.24,0,1,1
11,77203,Khaled Hosseini,2003,The Kite Runner,4.26,0,1,1
12,13335037,Veronica Roth,2011,"Divergent (Divergent, #1)",4.24,0,1,1
13,5470,"George Orwell, Erich Fromm, Cell ster",1949,1984,4.14,0,1,1
14,7613,George Orwell,1945,Animal Farm,3.87,0,1,1
15,48855,"Anne Frank, Eleanor Roosevelt, B.M. Mooyaart-Doubleday",1947,The Diary of a Young Girl,4.1,0,1,1
16,2429135,"Stieg Larsson, Reg Keeland",2005,"The Girl with the Dragon Tattoo (Millennium, #1)",4.11,0,1,1
17,6148028,Suzanne Collins,2009,"Catching Fire (The Hunger Games, #2)",4.3,0,1,1
18,5,"J.K. Rowling, Mary GrandPr, Rufus Beck",1999,"Harry Potter and the Prisoner of Azkaban (Harry Potter, #3)",4.53,0,1,1
19,34,J.R.R. Tolkien,1954,"The Fellowship of the Ring (The Lord of the Rings, #1)",4.34,0,1,1
20,7260188,Suzanne Collins,2010,"Mockingjay (The Hunger Games, #3)",4.03,0,1,1
21,2,"J.K. Rowling, Mary GrandPr",2003,"Harry Potter and the Order of the Phoenix (Harry Potter, #5)",4.46,0,1,1
22,12232938,Alice Sebold,2002,The Lovely Bones,3.77,0,1,1
23,15881,"J.K. Rowling, Mary GrandPr",1998,"Harry Potter and the Chamber of Secrets (Harry Potter, #2)",4.37,0,1,1
24,6,"J.K. Rowling, Mary GrandPr",2000,"Harry Potter and the Goblet of Fire (Harry Potter, #4)",4.53,0,1,1
25,136251,"J.K. Rowling, Mary GrandPr",2007,"Harry Potter and the Deathly Hallows (Harry Potter, #7)",4.61,0,1,1
26,968,Dan Brown,2003,"The Da Vinci Code (Robert Langdon, #2)",3.79,0,1,1
27,1,"J.K. Rowling, Mary GrandPr",2005,"Harry Potter and the Half-Blood Prince (Harry Potter, #6)",4.54,0,1,1
28,7624,William Golding,1954,Lord of the Flies,3.64,0,1,1
29,18135,"William Shakespeare, Robert           Jackson",1595,Romeo and Juliet,3.73,0,1,1
30,8442457,Gillian Flynn,2012,Gone Girl,4.03,0,1,1
31,4667024,Kathryn Stockett,2009,The Help,4.45,0,1,1
32,890,John Steinbeck,1937,Of Mice and Men,3.84,0,1,1
33,930,Arthur Golden,1997,Memoirs of a Geisha,4.08,0,1,1
34,10818853,E.L. James,2011,"Fifty Shades of Grey (Fifty Shades, #1)",3.67,0,1,1
35,865,"Paulo Coelho, Alan R. Clarke",1988,The Alchemist,3.82,0,1,1
36,3636,Lois Lowry,1993,"The Giver (The Giver, #1)",4.12,0,1,1
37,100915,C.S. Lewis,1950,"The Lion, the Witch, and the Wardrobe (Chronicles of Narnia, #1)",4.19,0,1,1
38,14050,Audrey Niffenegger,2003,The Time Traveler's Wife,3.95,0,1,1
39,13496,George R.R. Martin,1996,"A Game of Thrones (A Song of Ice and Fire, #1)",4.45,0,1,1
40,19501,Elizabeth Gilbert,2006,"Eat, Pray, Love",3.51,0,1,1
41,28187,Rick Riordan,2005,"The Lightning Thief (Percy Jackson and the Olympians, #1)",4.23,0,1,1
42,1934,Louisa May Alcott,1868,"Little Women (Little Women, #1)",4.04,0,1,1
43,10210,"Charlotte Bront, Michael Mason",1847,Jane Eyre,4.1,0,1,1
44,15931,Nicholas Sparks,1996,"The Notebook (The Notebook, #1)",4.06,0,1,1
45,4214,Yann Martel,2001,Life of Pi,3.88,0,1,1
46,43641,Sara Gruen,2006,Water for Elephants,4.07,0,1,1
47,19063,Markus Zusak,2005,The Book Thief,4.36,0,1,1
48,4381,Ray Bradbury,1953,Fahrenheit 451,3.97,0,1,1
49,49041,Stephenie Meyer,2006,"New Moon (Twilight, #2)",3.52,0,1,1
50,30119,Shel Silverstein,1974,Where the Sidewalk Ends,4.29,0,1,1
51,256683,Cassandra Clare,2007,"City of Bones (The Mortal Instruments, #1)",4.12,0,1,1
52,428263,Stephenie Meyer,2007,"Eclipse (Twilight, #3)",3.69,0,1,1
53,113436,Christopher Paolini,2002,"Eragon (The Inheritance Cycle, #1)",3.86,0,1,1
54,11,Douglas Adams,1979,"The Hitchhiker's Guide to the Galaxy (Hitchhiker's Guide to the Galaxy, #1)",4.2,0,1,1
55,5129,Aldous Huxley,1932,Brave New World,3.97,0,1,1
56,1162543,Stephenie Meyer,2008,"Breaking Dawn (Twilight, #4)",3.7,0,1,1
57,37435,Sue Monk Kidd,2001,The Secret Life of Bees,4.01,0,1,1
58,2956,"Mark Twain, John Seelye, Guy Cardwell",1884,The Adventures of Huckleberry Finn,3.8,0,1,1
59,24178,"E.B. White, Garth Williams, Rosemary Wells",1952,Charlotte's Web,4.15,0,1,1
60,1618,Mark Haddon,2003,The Curious Incident of the Dog in the Night-Time,3.85,0,1,1
61,22557272,Paula Hawkins,2015,The Girl on the Train,3.88,0,1,1
62,119322,Philip Pullman,1995,"The Golden Compass (His Dark Materials, #1)",3.94,0,1,1
63,6185,"Emily Bront, Richard J. Dunn",1847,Wuthering Heights,3.82,0,1,1
64,10917,Jodi Picoult,2004,My Sister's Keeper,4.06,0,1,1
65,4981,Kurt Vonnegut Jr.,1969,Slaughterhouse-Five,4.06,0,1,1
66,18405,Margaret Mitchell,1936,Gone with the Wind,4.28,0,1,1
67,128029,Khaled Hosseini,2007,A Thousand Splendid Suns,4.34,0,1,1
68,22628,Stephen Chbosky,1999,The Perks of Being a Wallflower,4.21,0,1,1
69,11735983,Veronica Roth,2012,"Insurgent (Divergent, #2)",4.07,0,1,1
70,375802,Orson Scott Card,1985,"Ender's Game (Ender's Saga, #1)",4.3,0,1,1
71,18490,"Mary Wollstonecraft Shelley, Percy Bysshe Shelley, Maurice Hindle",1818,Frankenstein,3.75,0,1,1
72,11588,Stephen King,1977,The Shining (The Shining #1),4.17,0,1,1
73,1656001,Stephenie Meyer,2008,"The Host (The Host, #1)",3.84,0,1,1
74,99561,John Green,2005,Looking for Alaska,4.09,0,1,1
75,227443,Helen Fielding,1996,"Bridget Jones's Diary (Bridget Jones, #1)",3.75,0,1,1
76,14935,"Jane Austen, Tony Tanner, Ros Ballaster",1811,Sense and Sensibility,4.06,0,1,1
77,38709,"Louis Sachar, Louis Sachar",1998,"Holes (Holes, #1)",3.93,0,1,1
78,5139,Lauren Weisberger,2003,"The Devil Wears Prada (The Devil Wears Prada, #1)",3.7,0,1,1
80,157993,"Antoine de Saint-Exupry, Richard Howard, Dom Marcos Barbosa, Melina Karakosta",1946,The Little Prince,4.28,0,1,1
81,7445,Jeannette Walls,2005,The Glass Castle,4.24,0,1,1
82,1845,Jon Krakauer,1996,Into the Wild,3.94,0,1,1
83,1953,"Charles Dickens, Richard Maxwell, Hablot Knight Browne",1859,A Tale of Two Cities,3.81,0,1,1
84,7677,Michael Crichton,1990,"Jurassic Park (Jurassic Park, #1)",3.96,0,1,1
85,370493,Shel Silverstein,1964,The Giving Tree,4.38,0,1,1
86,32542,John Grisham,1989,A Time to Kill,4.03,0,1,1
87,1617,"Elie Wiesel, Marion Wiesel",1958,Night (The Night Trilogy #1),4.3,0,1,1
88,6442769,John Green,2008,Paper Towns,3.88,0,1,1
89,21787,William Goldman,1973,The Princess Bride ,4.25,0,1,1
90,231804,S.E. Hinton,1967,The Outsiders,4.06,0,1,1
91,6186357,James Dashner,2009,"The Maze Runner (Maze Runner, #1)",4.02,0,1,1
92,1202,"Steven D. Levitt, Stephen J. Dubner",2005,"Freakonomics: A Rogue Economist Explores the Hidden Side of Everything (Freakonomics, #1)",3.93,0,1,1
93,2998,Frances Hodgson Burnett,1911,The Secret Garden,4.12,0,1,1
94,320,"Gabriel Garca Mrquez, Gregory Rabassa",1967,One Hundred Years of Solitude,4.04,0,1,1
95,5297,"Oscar Wilde, Jeffrey Eugenides",1891,The Picture of Dorian Gray,4.06,0,1,1
96,13536860,E.L. James,2012,"Fifty Shades Freed (Fifty Shades, #3)",3.88,0,1,1
97,17245,"Bram Stoker, Nina Auerbach, David J. Skal",1897,Dracula,3.98,0,1,1
98,5060378,"Stieg Larsson, Reg Keeland",2006,"The Girl Who Played with Fire (Millennium, #2)",4.22,0,1,1
99,11857408,E.L. James,2011,"Fifty Shades Darker (Fifty Shades, #2)",3.87,0,1,1
100,7244,Barbara Kingsolver,1998,The Poisonwood Bible,4.02,0,1,1
101,4137,David Sedaris,2000,Me Talk Pretty One Day,3.97,0,1,1
102,19543,Maurice Sendak,1963,Where the Wild Things Are,4.22,0,1,1
103,7126,"Alexandre Dumas, Robin Buss",1844,The Count of Monte Cristo,4.21,0,1,1
104,6288,Cormac McCarthy,2006,The Road,3.95,0,1,1
105,18710190,Veronica Roth,2013,"Allegiant (Divergent, #3)",3.63,0,1,1
106,9418327,Tina Fey,2011,Bossypants,3.94,0,1,1
107,3473,Nicholas Sparks,1999,A Walk to Remember,4.15,0,1,1
108,9416,Sophie Kinsella,2000,"Confessions of a Shopaholic (Shopaholic, #1)",3.61,0,1,1
109,24280,"Victor Hugo, Lee Fahnestock, Norman MacAfee",1862,Les Misrables,4.14,0,1,1
110,10572,George R.R. Martin,1998,"A Clash of Kings  (A Song of Ice and Fire, #2)",4.4,0,1,1
111,10441,Kim Edwards,2005,The Memory Keeper's Daughter,3.64,0,1,1
112,15507958,Jojo Moyes,2012,"Me Before You (Me Before You, #1)",4.27,0,1,1
113,168668,Joseph Heller,1961,Catch-22,3.98,0,1,1
114,6900,"Mitch Albom, Saulius Dagys",1997,Tuesdays with Morrie,4.06,0,1,1
115,2187,Jeffrey Eugenides,2002,Middlesex,3.98,0,1,1
116,24583,"Mark Twain, Guy Cardwell, John Seelye",1876,The Adventures of Tom Sawyer,3.89,0,1,1
117,18131,Madeleine L'Engle,1962,"A Wrinkle in Time (A Wrinkle in Time Quintet, #1)",4.04,0,1,1
118,7763,Amy Tan,1989,The Joy Luck Club,3.9,0,1,1
119,38447,Margaret Atwood,1985,The Handmaid's Tale,4.06,0,1,1
120,452306,Ann Brashares,2001,"The Sisterhood of the Traveling Pants (Sisterhood, #1)",3.75,0,1,1
121,7604,"Vladimir Nabokov, Craig Raine",1955,Lolita,3.88,0,1,1
122,37442,"Gregory Maguire, Douglas Smith",1995,"Wicked: The Life and Times of the Wicked Witch of the West (The Wicked Years, #1)",3.52,0,1,1
123,5358,John Grisham,1991,"The Firm (Penguin Readers, Level 5)",3.99,0,1,1
124,7937843,Emma Donoghue,2010,Room,4.03,0,1,1
125,1420,"William Shakespeare, Richard Andrews, Rex Gibson",1600,Hamlet,4,0,1,1
126,234225,Frank Herbert,1965,Dune (Dune Chronicles #1),4.19,0,1,1
127,2612,Malcolm Gladwell,2000,The Tipping Point: How Little Things Can Make a Big Difference,3.92,0,1,1
128,11084145,Walter Isaacson,2011,Steve Jobs,4.09,0,1,1
129,332613,Ken Kesey,1962,One Flew Over the Cuckoo's Nest,4.18,0,1,1
130,2165,Ernest Hemingway,1952,The Old Man and the Sea,3.73,0,1,1
131,4395,John Steinbeck,1939,The Grapes of Wrath,3.92,0,1,1
132,3431,Mitch Albom,2003,The Five People You Meet in Heaven,3.9,0,1,1
133,8127,L.M. Montgomery,1908,"Anne of Green Gables (Anne of Green Gables, #1)",4.23,0,1,1
134,3777732,Cassandra Clare,2009,"City of Glass (The Mortal Instruments, #3)",4.34,0,1,1
135,62291,George R.R. Martin,2000,"A Storm of Swords (A Song of Ice and Fire, #3)",4.54,0,1,1
